ID		      n           mean        sigma       rob_mean    rob_sigma            max            min
1425.WFI.dat       2         22.632        0.719         22.632        0.350         23.140         22.123
1426.WFI.dat       3         22.767        0.273         22.752        0.208         23.065         22.529
1427.WFI.dat      26         22.856        0.164         22.822        0.130         23.254         22.521
142.WFI.dat      96         21.545        0.106         21.555        0.112         21.820         21.267
1431.WFI.dat      58         22.640        0.226         22.630        0.164         23.257         22.089
1432.WFI.dat      79         23.870        0.100         23.868        0.088         24.163         23.607
1433.WFI.dat      70         23.781        0.519         23.703        0.461         25.183         22.875
1434.WFI.dat      15         22.603        0.302         22.520        0.265         23.355         22.194
1437.WFI.dat      73         23.612        0.310         23.606        0.284         24.475         23.015
1439.WFI.dat      23         22.809        0.328         22.796        0.278         23.602         22.161
143.WFI.dat      79         21.755        0.141         21.749        0.137         22.132         21.324
1440.WFI.dat      26         22.435        0.237         22.383        0.118         23.313         22.117
1441.WFI.dat      47         23.767        0.418         23.723        0.319         24.819         22.690
1442.WFI.dat      48         24.108        0.433         24.208        0.403         25.038         23.317
1443.WFI.dat      82         23.693        0.074         23.689        0.084         23.859         23.579
1445.WFI.dat      16         22.561        0.291         22.534        0.289         23.280         22.157
1447.WFI.dat      47         23.183        0.215         23.177        0.191         23.732         22.748
1448.WFI.dat      22         23.291        0.347         23.387        0.265         23.873         22.465
1449.WFI.dat      36         23.265        0.402         23.208        0.325         24.317         22.239
1451.WFI.dat      65         23.456        0.372         23.391        0.304         24.808         22.808
1453.WFI.dat       4         23.089        0.421         23.122        0.382         23.558         22.554
1454.WFI.dat      15         23.034        0.294         23.008        0.307         23.533         22.478
1456.WFI.dat       4         22.861        0.663         22.643        0.574         23.788         22.369
1457.WFI.dat      19         22.748        0.331         22.706        0.400         23.319         22.244
1459.WFI.dat      19         23.337        0.340         23.344        0.267         24.243         22.724
145.WFI.dat      90         21.798        0.157         21.795        0.178         22.154         21.469
1460.WFI.dat      26         23.501        0.186         23.495        0.150         23.941         23.152
1461.WFI.dat       3         23.009        0.563         22.955        0.412         23.647         22.585
1462.WFI.dat      32         24.117        0.210         24.102        0.161         24.911         23.700
1463.WFI.dat      51         24.374        0.255         24.356        0.213         25.054         23.602
